algorithm,optimization,matrix_size,matrix_datatype,ap_clk_estimated,latency_max,BRAM_18K,CSP48E,FF,LUT,execution_time,% BRAM_18K,% CSP48E,% FF,% LUT
0,0,8,int,8.51,2564,3,3,379,732,21819.64,0.010416666666666666,0.0078125,0.026871809415768576,0.0625213529210796
0,0,16,int,8.51,18308,3,3,402,748,155801.08,0.010416666666666666,0.0078125,0.028502552467385138,0.06388793987017424
0,0,32,int,8.51,138500,6,3,425,736,1178635.0,0.020833333333333332,0.0078125,0.0301332955190017,0.06286299965835326
0,0,64,int,8.51,1077764,24,3,448,778,9171771.64,0.08333333333333333,0.0078125,0.03176403857061826,0.06645029039972668
0,0,128,int,8.51,8504324,96,3,471,820,72371797.24,0.3333333333333333,0.0078125,0.033394781622234825,0.0700375811411001
0,0,256,int,8.51,67569668,384,3,494,836,575017874.68,1.3333333333333333,0.0078125,0.03502552467385139,0.07140416809019474
0,1,8,int,8.51,716,3,3,652,1157,6093.16,0.010416666666666666,0.0078125,0.04622802041973908,0.09882131875640587
0,1,16,int,8.51,4876,3,3,680,1197,41494.76,0.010416666666666666,0.0078125,0.04821327283040272,0.10223778612914247
0,1,32,int,8.51,35852,6,3,706,1200,305100.52,0.020833333333333332,0.0078125,0.05005672149744753,0.10249402118209772
0,1,64,int,8.51,274444,24,3,733,1276,2335518.44,0.08333333333333333,0.0078125,0.05197107203630176,0.10898530919029724
0,1,128,int,8.51,2146316,96,3,760,1341,18265149.16,0.3333333333333333,0.0078125,0.05388542257515598,0.1145370686709942
0,1,256,int,8.51,16973836,384,3,787,1405,144447344.35999998,1.3333333333333333,0.0078125,0.05579977311401021,0.12000341646737274
0,2,8,int,8.51,268,1,24,2317,1535,2280.68,0.003472222222222222,0.0625,0.16427963698241635,0.13110693542876667
0,2,16,int,8.742,1037,1,48,4171,2433,9065.454000000002,0.003472222222222222,0.125,0.29573170731707316,0.2078066279467031
0,2,32,int,8.742,4109,66,96,3872,3527,35920.878000000004,0.22916666666666666,0.25,0.2745320476460579,0.30124701059104886
0,2,64,int,8.742,16398,136,192,7396,6259,143351.31600000002,0.4722222222222222,0.5,0.524390243902439,0.5345917321489579
0,2,128,int,8.742,65550,288,384,14123,11701,573038.1000000001,1.0,1.0,1.0013471355643788,0.9994021182097711
0,2,256,int,8.742,262159,640,768,27763,22541,2291793.978,2.2222222222222223,2.0,1.96844866704481,1.925264776221387
0,3,8,int,8.51,266,1,24,2274,1552,2263.66,0.003472222222222222,0.0625,0.16123085649461147,0.1325589340621797
0,3,16,int,8.742,1035,1,48,4134,2440,9047.970000000001,0.003472222222222222,0.125,0.29310833806012476,0.208404509736932
0,3,32,int,8.742,4107,66,96,3841,3546,35903.394,0.22916666666666666,0.25,0.27233408961996597,0.30286983259309874
0,3,64,int,8.742,16396,136,192,7371,6254,143333.83200000002,0.4722222222222222,0.5,0.5226176971072036,0.5341646737273659
0,3,128,int,8.742,65548,288,384,14104,11708,573020.616,1.0,1.0,1.0,1.0
0,3,256,int,8.742,262157,640,768,27750,22530,2291776.4940000004,2.2222222222222223,2.0,1.9675269427112876,1.9243252476938846
