K_rho,K_alpha,K_beta,mean_performance
5,5,-25,10000
5,5,-15,9629.4286
5,5,-5,5480.4286
5,15,-25,7379
5,15,-15,3523
5,15,-5,6630.8571
5,25,-25,3490.2857
5,25,-15,2523.2381
5,25,-5,9159.7143
15,5,-25,9714.3333
15,5,-15,9623.4762
15,5,-5,4194.7143
15,15,-25,5438.6667
15,15,-15,3385.4762
15,15,-5,6287.4762
15,25,-25,3345.1905
15,25,-15,2737.7619
15,25,-5,8713.5238
25,5,-25,9706.1429
25,5,-15,8554.6667
25,5,-5,8232.7619
25,15,-25,5436.1429
25,15,-15,3382.5238
25,15,-5,6185.4286
25,25,-25,3340.9524
25,25,-15,2946.4286
25,25,-5,10000
5,5,-6,4871.0476
5,5,-4,2520.5714
5,5,-2,3104.619
5,15,-6,5827.0952
5,15,-4,7380.3333
5,15,-2,8218.0952
5,25,-6,8984.3333
5,25,-4,9159.5714
5,25,-2,8885.7143
15,5,-6,4506.9524
15,5,-4,2379.9048
15,5,-2,2696.381
15,15,-6,5456.7619
15,15,-4,7108.9524
15,15,-2,7957.619
15,25,-6,8307.1429
15,25,-4,9160.8571
15,25,-2,8739.1905
25,5,-6,4354.9048
25,5,-4,2377.9048
25,5,-2,2617.0952
25,15,-6,5352.2857
25,15,-4,7029.5238
25,15,-2,8722.5714
25,25,-6,10000
25,25,-4,9160.7143
25,25,-2,8739.0476
5,5,-4,2520.5714
5,5,-3,1922.1429
5,5,-2,3104.619
5,5,-1,7286.0952
5,15,-4,7380.3333
5,15,-3,8181.7619
5,15,-2,8218.0952
5,15,-1,8922.0952
5,25,-4,9159.5714
5,25,-3,9159.4286
5,25,-2,8885.7143
5,25,-1,8535.9048
15,5,-4,2381.2857
15,5,-3,1744.2381
15,5,-2,2696.381
15,5,-1,7079.8571
15,15,-4,7108.9524
15,15,-3,7948.0476
15,15,-2,7957.619
15,15,-1,8774.2381
15,25,-4,9160.8571
15,25,-3,8739.1905
15,25,-2,8739.1905
15,25,-1,8739.9524
25,5,-4,2377.9048
25,5,-3,1735.8571
25,5,-2,2616.7143
25,5,-1,7030.9524
25,15,-4,7029.5238
25,15,-3,7875.5714
25,15,-2,8722.5714
25,15,-1,8724.4762
25,25,-4,9160.7143
25,25,-3,8738.8095
25,25,-2,8739.0476
25,25,-1,8031.0952
